name,mana_value,color_identity,types,subtypes,set,year,rarity
Charge,1.0,W,Instant,,dom,2018,1
Island,0.0,U,"Basic,Land",Island,lea,1993,1
Novice Knight,1.0,W,Creature,"Human,Knight",m19,2018,2
Fallen Askari,2.0,B,Creature,"Human,Knight",vis,1997,1
Altar's Reap,2.0,B,Instant,,isd,2011,1
"Lavinia, Azorius Renegade",2.0,"U,W","Legendary,Creature","Human,Soldier",prna,2019,3
"Odric, Master Tactician",4.0,W,"Legendary,Creature","Human,Soldier",m13,2012,3
Afflict,3.0,B,Instant,,ody,2001,1
Crown of Gondor,3.0,,"Legendary,Artifact",Equipment,ltc,2023,3
Invisible Stalker,2.0,U,Creature,"Human,Rogue",isd,2011,2
"Dakkon, Shadow Slayer",3.0,"B,U,W","Legendary,Planeswalker",Dakkon,pmh2,2021,4
Shahrazad,2.0,W,Sorcery,,arn,1993,3
Destructive Tampering,3.0,R,Sorcery,,aer,2017,1
Mox Jet,0.0,B,Artifact,,lea,1993,3
Harmonize,4.0,G,Sorcery,,plc,2007,2
Nocturnal Raid,4.0,B,Instant,,mir,1996,2
Temporal Manipulation,5.0,U,Sorcery,,p02,1998,3
Archon of the Wild Rose,4.0,W,Creature,Archon,woe,2023,3
Vaevictis Asmadi,8.0,"B,G,R","Legendary,Creature","Elder,Dragon",leg,1994,3
Flensermite,2.0,B,Creature,"Phyrexian,Gremlin",mbs,2011,1
Triskelion,6.0,,"Artifact,Creature",Construct,atq,1994,3
Rite of the Raging Storm,5.0,R,Enchantment,,c15,2015,2
"Gorion, Wise Mentor",3.0,"G,U,W","Legendary,Creature","Human,Wizard",clb,2022,3
Gate Smasher,3.0,,Artifact,Equipment,dtk,2015,2
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",0.0,"G,U",Land,"Town,//,Legendary,Artifact,—,Vehicle",fin,2025,3
Kemba's Outfitter,1.0,W,Creature,"Cat,Artificer",yone,2023,2
World Breaker,7.0,G,Creature,Eldrazi,ogw,2016,4
Rogue Kavu,2.0,R,Creature,Kavu,inv,2000,1
Ornery Tumblewagg,3.0,G,Creature,"Brushwagg,Mount",otj,2024,3
Harbinger of the Seas,3.0,U,Creature,"Merfolk,Wizard",mh3,2024,3
Mad Auntie,3.0,B,Creature,"Goblin,Shaman",lrw,2007,3
Coral Eel,2.0,U,Creature,Fish,por,1997,1
Midnight Clock,3.0,U,Artifact,,eld,2019,3
Invasion of Tolvada // The Broken Sky,5.0,"B,W",Battle,"Siege,//,Enchantment",mom,2023,3
Lurking Nightstalker,2.0,B,Creature,Nightstalker,p02,1998,1
Spark Spray,1.0,R,Instant,,scg,2003,1
Remand,2.0,U,Instant,,rav,2005,2
"Lazav, Familiar Stranger",3.0,"B,U","Legendary,Creature",Shapeshifter,otj,2024,2
Plains,0.0,W,"Basic,Land",Plains,lea,1993,1
"Edric, Spymaster of Trest",3.0,"G,U","Legendary,Creature","Elf,Rogue",cmd,2011,3
Crossbow Infantry,2.0,W,Creature,"Human,Soldier,Archer",mmq,1999,1
Bubbling Beebles,5.0,U,Creature,Beeble,uds,1999,1
Second Breakfast,3.0,W,Instant,,ltr,2023,1
"Ulasht, the Hate Seed",4.0,"G,R","Legendary,Creature","Hellion,Hydra",gpt,2006,3
Unholy Strength,1.0,B,Enchantment,Aura,lea,1993,1
Consecrate // Consume,6.0,"B,W","Instant,//,Sorcery",,rna,2019,2
Thornwood Falls,0.0,"G,U",Land,,ktk,2014,1
Elvish Aberration,6.0,G,Creature,"Elf,Mutant",pal03,2003,3
"Farid, Enterprising Salvager",3.0,R,"Legendary,Creature","Human,Soldier",brc,2022,3
Wings of Aesthir,2.0,"U,W",Enchantment,Aura,ice,1995,2
Mwonvuli Beast Tracker,3.0,G,Creature,"Human,Scout",pm13,2012,2
Return to Dust,4.0,W,Instant,,tsp,2006,2
Emberheart Challenger,2.0,R,Creature,"Mouse,Warrior",blb,2024,3
Royal Assassin,3.0,B,Creature,"Human,Assassin",lea,1993,3
Shock,1.0,R,Instant,,sth,1998,1
Eldrazi Temple,0.0,,Land,,roe,2010,3
Voyager Glidecar,1.0,W,Artifact,Vehicle,pdft,2025,3
Walk the Plank,2.0,B,Sorcery,,xln,2017,2
Sphinx's Revelation,3.0,"U,W",Instant,,rtr,2012,4
Mise,1.0,U,Instant,,pal04,2004,3
Kor Entanglers,5.0,W,Creature,"Kor,Soldier,Ally",bfz,2015,2
Tail Swipe,1.0,G,Instant,,dmu,2022,2
Briarbridge Patrol,4.0,G,Creature,"Human,Warrior",soi,2016,2
The Restoration of Eiganjo // Architect of Restoration,3.0,W,Enchantment,"Saga,//,Enchantment,Creature,—,Fox,Monk",neo,2022,3
Spread the Sickness,5.0,B,Sorcery,,mbs,2011,1
"Izoni, Thousand-Eyed",6.0,"B,G","Legendary,Creature","Elf,Shaman",grn,2018,3
Oracle of the Alpha,3.0,U,Creature,"Bird,Wizard",ydmu,2022,4
"Alesha, Who Laughs at Fate",3.0,"B,R","Legendary,Creature","Human,Warrior",fdn,2024,3
Duelist's Heritage,3.0,W,Enchantment,,c16,2016,3
"Lazav, Dimir Mastermind",4.0,"B,U","Legendary,Creature",Shapeshifter,gtc,2013,4
Celestial Kirin,4.0,W,"Legendary,Creature","Kirin,Spirit",sok,2005,3
Courage in Crisis,3.0,G,Sorcery,,war,2019,1
Green Sun's Twilight,1.0,G,Sorcery,,pone,2023,3
Talisman of Curiosity,2.0,"G,U",Artifact,,mh1,2019,2
"Snapdax, Apex of the Hunt",4.0,"B,R,W","Legendary,Creature","Dinosaur,Cat,Nightmare",piko,2020,4
Ornithopter,0.0,,"Artifact,Creature",Thopter,atq,1994,1
"Kamahl, Pit Fighter",6.0,R,"Legendary,Creature","Human,Barbarian",ody,2001,3
Saheeli's Directive,3.0,R,Sorcery,,c18,2018,3
Festering Goblin,1.0,B,Creature,"Zombie,Goblin",ons,2002,1
Reality Smasher,5.0,,Creature,Eldrazi,ogw,2016,3
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",3.0,G,"Legendary,Enchantment,//,Legendary,Land",,pxln,2017,3
Orzhov Advokist,3.0,W,Creature,"Human,Advisor",c16,2016,2
Initiate's Companion,2.0,G,Creature,Cat,akh,2017,1
Tsabo's Assassin,4.0,B,Creature,"Phyrexian,Zombie,Assassin",inv,2000,3
Mana Clash,1.0,R,Sorcery,,drk,1994,3
Darksteel Splicer,7.0,W,Creature,"Phyrexian,Artificer",moc,2023,3
"Hogaak, Arisen Necropolis",7.0,"B,G","Legendary,Creature",Avatar,mh1,2019,3
Survival of the Fittest,2.0,G,Enchantment,,exo,1998,3
Keen-Eyed Curator,2.0,G,Creature,"Raccoon,Scout",blb,2024,3
Jasmine Boreal,5.0,"G,W","Legendary,Creature",Human,leg,1994,2
Bone Dragon,5.0,B,Creature,"Dragon,Skeleton",pm19,2018,4
Psychic Venom,2.0,U,Enchantment,Aura,lea,1993,1
Birthing Ritual,2.0,G,Enchantment,,mh3,2024,4
A-Falcon Abomination,3.0,U,Creature,"Zombie,Bird",mid,2021,1
Fire Elemental,5.0,R,Creature,Elemental,lea,1993,2
Grizzly Fate,5.0,G,Sorcery,,jud,2002,2
Ancient Spring,0.0,"B,U,W",Land,,inv,2000,1
Howlgeist,6.0,G,Creature,"Spirit,Wolf",avr,2012,2
Sengir Vampire,5.0,B,Creature,Vampire,lea,1993,2
Farewell,6.0,W,Sorcery,,neo,2022,3
Digsite Engineer,3.0,W,Creature,"Dwarf,Artificer",c21,2021,3
Security Rhox,4.0,"G,R",Creature,"Rhino,Warrior",snc,2022,2
Biogenic Upgrade,6.0,G,Sorcery,,rna,2019,2
Belbe's Armor,3.0,,Artifact,,nem,2000,2
Slinking Skirge,4.0,B,Creature,"Phyrexian,Imp",uds,1999,1
Thalakos Lowlands,0.0,"U,W",Land,,tmp,1997,2
Scoured Barrens,0.0,"B,W",Land,,ktk,2014,1
"Shaile, Dean of Radiance // Embrose, Dean of Shadow",2.0,"B,W","Legendary,Creature","Bird,Cleric,//,Legendary,Creature,—,Human,Warlock",plst,2020,3
Spined Wurm,5.0,G,Creature,Wurm,por,1997,1
Behemoth Sledge,3.0,"G,W",Artifact,Equipment,arb,2009,2
"Cadric, Soul Kindler",4.0,"R,W","Legendary,Creature","Dwarf,Wizard",dmc,2022,3
Summon: Choco/Mog,3.0,W,"Enchantment,Creature","Saga,Bird,Moogle",fin,2025,1
Grim Captain's Call,3.0,B,Sorcery,,xln,2017,2
"Boseiju, Who Endures",0.0,G,"Legendary,Land",,neo,2022,3
Reassembling Skeleton,2.0,B,Creature,"Skeleton,Warrior",arc,2010,2
Catastrophe,6.0,W,Sorcery,,usg,1998,3
Vandalblast,1.0,R,Sorcery,,rtr,2012,2
Beledros Witherbloom,7.0,"B,G","Legendary,Creature","Elder,Dragon",pstx,2021,4
Enchanted Carriage,5.0,,Artifact,Vehicle,eld,2019,2
Workshop Elders,7.0,U,Creature,"Human,Artificer",eld,2019,3
Floodbringer,2.0,U,Creature,"Moonfolk,Wizard",bok,2005,1
Phyresis,2.0,B,Enchantment,Aura,mbs,2011,1
Banewhip Punisher,3.0,B,Creature,"Human,Warrior",hou,2017,2
Mountain,0.0,R,"Basic,Land",Mountain,lea,1993,1
"Nin, the Pain Artist",2.0,"R,U","Legendary,Creature","Vedalken,Wizard",pcmd,2011,3
Corpse Traders,4.0,B,Creature,"Human,Rogue",avr,2012,2
Zodiac Rabbit,1.0,G,Creature,Rabbit,ptk,1999,1
Rite of the Serpent,6.0,B,Sorcery,,ktk,2014,1
Scourge of Fleets,7.0,U,Creature,Kraken,pjou,2014,3
Maro's Gone Nuts,2.0,G,Enchantment,,cmb1,2019,3
Skullclamp,1.0,,Artifact,Equipment,dst,2004,2
Skullmane Baku,5.0,B,Creature,Spirit,bok,2005,1
Feeling of Dread,2.0,"U,W",Instant,,isd,2011,1
Ledger Shredder,2.0,U,Creature,"Bird,Advisor",psnc,2022,3
Pia Nalaar,3.0,R,"Legendary,Creature","Human,Artificer",pkld,2016,3
Shatterskull Charger,3.0,R,Creature,"Giant,Warrior",pznr,2020,3
Infected Vermin,3.0,B,Creature,Rat,ody,2001,2
Venerable Warsinger,3.0,"R,W",Creature,"Spirit,Cleric",stx,2021,3
Thousand-Faced Shadow,1.0,U,Creature,"Human,Ninja",neo,2022,3
"Delney, Streetwise Lookout",3.0,W,"Legendary,Creature","Human,Scout",mkm,2024,4
Murderous Betrayal,3.0,B,Enchantment,,nem,2000,3
Eyeblight Massacre,4.0,B,Sorcery,,ori,2015,2
Raise Dead,1.0,B,Sorcery,,lea,1993,1
Saprazzan Skerry,0.0,U,Land,,mmq,1999,1
Elder Gargaroth,5.0,G,Creature,Beast,pm21,2020,4
Bloodline Culling,3.0,B,Instant,,mid,2021,3
Enigma Drake,3.0,"R,U",Creature,Drake,akh,2017,2
Sphinx Summoner,5.0,"B,U","Artifact,Creature",Sphinx,con,2009,3
Blessing of Frost,4.0,G,"Snow,Sorcery",,pkhm,2021,3
Worship,4.0,W,Enchantment,,usg,1998,3
Duress,1.0,B,Sorcery,,usg,1998,1
"Miara, Thorn of the Glade",2.0,B,"Legendary,Creature","Elf,Scout",cmr,2020,2
Flame Slash,1.0,R,Sorcery,,roe,2010,1
Touch of the Void,3.0,R,Sorcery,,bfz,2015,1
"Danitha, New Benalia's Light",3.0,"G,W","Legendary,Creature","Human,Knight",mat,2023,3
Rite of Replication,4.0,U,Sorcery,,zen,2009,3
Guardian Angel,1.0,W,Instant,,lea,1993,1
Warrant // Warden,7.0,"U,W","Instant,//,Sorcery",,rna,2019,3
Sparkspitter,3.0,R,Creature,"Elemental,Spellshaper",fut,2007,2
Lightning Shrieker,5.0,R,Creature,Dragon,frf,2015,1
"Atris, Oracle of Half-Truths",4.0,"B,U","Legendary,Creature","Human,Advisor",pthb,2020,3
Pteramander,1.0,U,Creature,"Salamander,Drake",rna,2019,2
Diamond Faerie,5.0,"G,U,W","Snow,Creature",Faerie,csp,2006,3
Beast Within,3.0,G,Instant,,nph,2011,2
"Titania, Nature's Force",6.0,G,"Legendary,Creature",Elemental,brc,2022,4
Blighted Burgeoning,3.0,G,Enchantment,Aura,mom,2023,1
Archmage of Runes,5.0,U,Creature,"Giant,Wizard",pfdn,2024,3
Finale of Promise,2.0,R,Sorcery,,pwar,2019,4
Rootcast Apprenticeship,4.0,G,Sorcery,,blc,2024,3
"Laelia, the Blade Reforged",3.0,R,"Legendary,Creature","Spirit,Warrior",c21,2021,3
Predatory Impetus,5.0,G,Enchantment,Aura,c20,2020,2
Cyclopean Tomb,4.0,,Artifact,,lea,1993,3
Grove of the Guardian,0.0,"G,W",Land,,rtr,2012,3
Deadly Alliance,5.0,B,Instant,,znr,2020,1
Deep-Sea Terror,6.0,U,Creature,Serpent,ori,2015,1
Season of Weaving,6.0,U,Sorcery,,pblb,2024,4
Steamflogger Boss,4.0,R,Creature,"Goblin,Rigger",fut,2007,3
Immaculate Magistrate,4.0,G,Creature,"Elf,Shaman",lrw,2007,3
Soul of Eternity,7.0,W,Creature,Avatar,cmr,2020,3
Jaya Ballard,5.0,R,"Legendary,Planeswalker",Jaya,pdom,2018,4
"Gutmorn, Pactbound Servant",3.0,B,"Legendary,Creature",Demon,ymid,2021,4
Hurska Sweet-Tooth,3.0,"G,W","Legendary,Creature",Bear,j25,2024,4
Refresh,3.0,G,Instant,,ody,2001,1
Bone Picker,4.0,B,Creature,Bird,akh,2017,2
Jack-o'-Lantern,1.0,,Artifact,,mid,2021,1
"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied",4.0,"B,R","Legendary,Creature","Human,Mutant,Wizard,//,Legendary,Creature,—,Avatar,Wizard",fin,2025,3
Manaform Hellkite,4.0,R,Creature,Dragon,vow,2021,4
Bind // Liberate,4.0,"G,W","Instant,//,Instant",,cmb1,2019,3
Zodiac Ox,4.0,G,Creature,Ox,ptk,1999,2
"Alesha, Who Smiles at Death",3.0,"B,R,W","Legendary,Creature","Human,Warrior",frf,2015,3
Thorn of Amethyst,2.0,,Artifact,,lrw,2007,3
"Nissa, Vastwood Seer // Nissa, Sage Animist",3.0,G,"Legendary,Creature","Elf,Scout,//,Legendary,Planeswalker,—,Nissa",ps15,2015,4
"Faramir, Field Commander",4.0,W,"Legendary,Creature","Human,Soldier",ltr,2023,2
Enlarge,5.0,G,Sorcery,,m14,2013,2
Spurnmage Advocate,1.0,W,Creature,"Human,Nomad",jud,2002,2
"Linvala, Shield of Sea Gate",3.0,"U,W","Legendary,Creature","Angel,Wizard",pznr,2020,3
Lake of the Dead,0.0,B,Land,,all,1996,3
Consuming Vapors,4.0,B,Sorcery,,roe,2010,3
Spell Blast,1.0,U,Instant,,lea,1993,1
Slivdrazi Monstrosity,6.0,"B,G,R,U,W","Legendary,Creature","Sliver,Eldrazi",cmb1,2019,3
Crusader of Odric,3.0,W,Creature,"Human,Soldier",m13,2012,2
Pelakka Wurm,7.0,G,Creature,Wurm,roe,2010,2
Ripscale Predator,6.0,R,Creature,Dinosaur,gtc,2013,2
Twinblade Slasher,1.0,G,Creature,"Elf,Warrior",eve,2008,2
Bladegriff Prototype,5.0,,"Artifact,Creature",Griffin,cmr,2020,3
Beastmaster Ascension,3.0,G,Enchantment,,zen,2009,3
Gemrazer,4.0,G,Creature,Beast,iko,2020,3
Nezumi Cutthroat,2.0,B,Creature,"Rat,Warrior",chk,2004,1
Zealous Persecution,2.0,"B,W",Instant,,arb,2009,2
"Lady Zhurong, Warrior Queen",5.0,G,"Legendary,Creature","Human,Soldier,Warrior",ptk,1999,3
Hunting Wilds,4.0,G,Sorcery,,plc,2007,2
Ethereal Grasp,3.0,U,Instant,,j21,2021,1
Grim Wanderer,2.0,B,Creature,"Goblin,Warlock",afr,2021,2
Rally the Galadhrim,4.0,"G,U",Sorcery,,ltc,2023,3
Manabarbs,4.0,R,Enchantment,,lea,1993,3
Incandescent Aria,3.0,"G,R,W",Sorcery,,psnc,2022,3
Goblin Gardener,4.0,R,Creature,Goblin,uds,1999,1
Temur Charm,3.0,"G,R,U",Instant,,ktk,2014,2
Biolume Egg // Biolume Serpent,3.0,U,Creature,"Serpent,Egg,//,Creature,—,Serpent",vow,2021,2
Necrotic Hex,7.0,B,Sorcery,,cmr,2020,3
Reconnaissance Mission,4.0,U,Enchantment,,iko,2020,2
Overflowing Insight,7.0,U,Sorcery,,pxln,2017,4
Wasteful Harvest,3.0,G,Instant,,bro,2022,1
Inventor's Goggles,1.0,,Artifact,Equipment,kld,2016,1
Blockbuster,5.0,R,Enchantment,,rav,2005,2
"Padeem, Consul of Innovation",4.0,U,"Legendary,Creature","Vedalken,Artificer",pkld,2016,3
Nature's Lore,2.0,G,Sorcery,,ice,1995,2
Eron the Relentless,5.0,R,"Legendary,Creature","Human,Rogue",hml,1995,2
Sungrass Prairie,0.0,"G,W",Land,,ody,2001,3
Colossus of Sardia,9.0,,"Artifact,Creature",Golem,atq,1994,3
Krosan Verge,0.0,,Land,,jud,2002,2
Otepec Huntmaster,2.0,R,Creature,"Human,Shaman",xln,2017,2
Monk Idealist,3.0,W,Creature,"Human,Monk,Cleric",usg,1998,2
Give In to Violence,2.0,B,Instant,,dsk,2024,1
Mercadian Atlas,5.0,,Artifact,,mmq,1999,3
Drannith Magistrate,2.0,W,Creature,"Human,Wizard",piko,2020,3
Thermokarst,3.0,G,Sorcery,,ice,1995,2
Knight of the White Orchid,2.0,W,Creature,"Human,Knight",ala,2008,3
"Marchesa, Dealer of Death",3.0,"B,R,U","Legendary,Creature","Human,Rogue",potj,2024,3
Nomads' Assembly,6.0,W,Sorcery,,roe,2010,3
"Ulamog, the Infinite Gyre",11.0,,"Legendary,Creature",Eldrazi,roe,2010,4
Disintegrate,1.0,R,Sorcery,,lea,1993,1
Inspiring Vantage,0.0,"R,W",Land,,pkld,2016,3
"Ajani, the Greathearted",4.0,"G,W","Legendary,Planeswalker",Ajani,pwar,2019,3
Gift of Paradise,3.0,G,Enchantment,Aura,akh,2017,1
Endless One,0.0,,Creature,Eldrazi,bfz,2015,3
Polygoyf,3.0,G,Creature,Lhurgoyf,m3c,2024,3
Tip the Scales,3.0,B,Sorcery,,tdc,2025,3
Snake Umbra,3.0,G,Enchantment,Aura,roe,2010,1
Telepathy,1.0,U,Enchantment,,usg,1998,2
Gleaming Geardrake,2.0,"R,U","Artifact,Creature",Drake,mkm,2024,2
"Etrata, Deadly Fugitive",3.0,"B,U","Legendary,Creature","Vampire,Assassin",mkm,2024,4
Temple of the False God,0.0,,Land,,scg,2003,2
"Nikara, Lair Scavenger",3.0,B,"Legendary,Creature","Human,Cleric",c20,2020,4
Resurgent Belief,0.0,W,Sorcery,,pmh2,2021,3
Rescuer Sphinx,4.0,U,Creature,Sphinx,war,2019,2
Dusk // Dawn,9.0,W,"Sorcery,//,Sorcery",,akh,2017,3
Homing Lightning,4.0,R,Instant,,gtc,2013,2
Elvish Healer,3.0,W,Creature,"Elf,Cleric",ice,1995,1
Mirror Gallery,5.0,,Artifact,,bok,2005,3
Phantom Interference,1.0,U,Instant,,otj,2024,1
Tempt with Discovery,4.0,G,Sorcery,,c13,2013,3
Underworld Dreams,3.0,B,Enchantment,,leg,1994,2
Loxodon Convert,4.0,W,Creature,"Phyrexian,Elephant,Soldier",nph,2011,1
Excavating Anurid,5.0,G,Creature,"Frog,Beast",mh1,2019,1
Young Wolf,1.0,G,Creature,Wolf,dka,2012,1
Grim Lavamancer,1.0,R,Creature,"Human,Wizard",tor,2002,3
Ancient Bronze Dragon,7.0,G,Creature,"Elder,Dragon",clb,2022,4
Archdruid's Charm,3.0,G,Instant,,mkm,2024,3
Ox of Agonas,5.0,R,Creature,Ox,thb,2020,4
Dread Specter,4.0,B,Creature,Specter,mir,1996,2
Fleshformer,3.0,"B,G,R,U,W",Creature,"Human,Wizard",con,2009,2
Angelic Sleuth,3.0,W,Creature,"Angel,Advisor",pncc,2022,3
Call the Bloodline,2.0,B,Enchantment,,soi,2016,2
Needlepeak Spider,4.0,R,Creature,Spider,plc,2007,1
Tranquil Cove,0.0,"U,W",Land,,ktk,2014,1
Orazca Frillback,3.0,G,Creature,Dinosaur,rix,2018,1
Search for Glory,3.0,W,"Snow,Sorcery",,pkhm,2021,3
Mist Raven,4.0,U,Creature,Bird,avr,2012,1
Contagion,5.0,B,Instant,,all,1996,2
Crystal Rod,1.0,,Artifact,,lea,1993,2
Shadow Kin,4.0,U,Creature,Shapeshifter,mic,2021,3
Ghor-Clan Bloodscale,4.0,"G,R",Creature,"Lizard,Warrior",gpt,2006,2
Shoreline Looter,2.0,U,Creature,"Rat,Rogue",blb,2024,2
Dark Depths,0.0,,"Legendary,Snow,Land",,csp,2006,3
Liliana of the Dark Realms,4.0,B,"Legendary,Planeswalker",Liliana,m13,2012,4
Gruul War Chant,4.0,"G,R",Enchantment,,dgm,2013,2
Ur-Golem's Eye,4.0,,Artifact,,dst,2004,1
Ghost Ship,4.0,U,Creature,Spirit,drk,1994,1
Lightning Elemental,4.0,R,Creature,Elemental,tmp,1997,1
Pip-Boy 3000,1.0,,Artifact,Equipment,pip,2024,3
Gray Merchant of Asphodel,5.0,B,Creature,Zombie,ths,2013,1
Mindslaver,6.0,,"Legendary,Artifact",,mrd,2003,3
Instrument of the Bards,1.0,G,"Legendary,Artifact",,pafr,2021,3
Harnessed Snubhorn,4.0,W,Creature,Dinosaur,mat,2023,2
Cloud Elemental,3.0,U,Creature,Elemental,vis,1997,1
Warrior's Oath,2.0,R,Sorcery,,ptk,1999,3
Staunch Defenders,5.0,W,Creature,"Human,Soldier",tmp,1997,2
Elvish Skysweeper,1.0,G,Creature,"Elf,Warrior",rav,2005,1
Tormented Angel,4.0,W,Creature,Angel,uds,1999,1
Cogworker's Puzzleknot,2.0,W,Artifact,,kld,2016,1
Quest for the Holy Relic,1.0,W,Enchantment,,zen,2009,2
Urza's Power Plant,0.0,,Land,"Urza's,Power-Plant",atq,1994,1
Grim Giganotosaurus,7.0,"B,G",Creature,Dinosaur,rex,2023,3
Tolarian Scholar,3.0,U,Creature,"Human,Wizard",dom,2018,1
Lightkeeper of Emeria,4.0,W,Creature,Angel,wwk,2010,2
Bloodlust Inciter,1.0,R,Creature,"Human,Warrior",akh,2017,1
Stormscale Anarch,4.0,R,Creature,"Lizard,Shaman",dis,2006,3
Drifting Shade,4.0,B,Creature,Shade,m12,2011,1
Sheltered Thicket,0.0,"G,R",Land,"Mountain,Forest",pakh,2017,3
Angel of Glory's Rise,7.0,W,Creature,Angel,avr,2012,3
Desolate Mire,0.0,"B,W",Land,,pip,2024,3
Fiery Hellhound,3.0,R,Creature,"Elemental,Dog",m10,2009,1
Goblin Chariot,3.0,R,Creature,"Goblin,Warrior",s99,1999,1
Cloudform,3.0,U,Enchantment,,frf,2015,2
Bishop's Soldier,2.0,W,Creature,"Vampire,Soldier",xln,2017,1
Luxury Suite,0.0,"B,R",Land,,bbd,2018,3
Goblin Warchief,3.0,R,Creature,"Goblin,Warrior",scg,2003,2
Song of the Dryads,3.0,G,Enchantment,Aura,c14,2014,3
Gorger Wurm,5.0,"G,R",Creature,Wurm,arb,2009,1
Cut of the Profits,2.0,B,Sorcery,,snc,2022,3
Ghostly Prison,3.0,W,Enchantment,,chk,2004,2
"Lathiel, the Bounteous Dawn",4.0,"G,W","Legendary,Creature",Unicorn,cmr,2020,3
"Baylen, the Haymaker",3.0,"G,R,W","Legendary,Creature","Rabbit,Warrior",blb,2024,3
Goblin Lore,2.0,R,Sorcery,,p02,1998,2
Lava Serpent,6.0,R,Creature,"Elemental,Serpent",iko,2020,1
Aethertorch Renegade,3.0,R,Creature,"Human,Rogue",kld,2016,2
Skarrg Guildmage,2.0,"G,R",Creature,"Human,Shaman",gtc,2013,2
"Gríma, Saruman's Footman",4.0,"B,U","Legendary,Creature","Human,Advisor",ltc,2023,3
Petals of Insight,5.0,U,Sorcery,Arcane,chk,2004,2
Opportunity,6.0,U,Instant,,ulg,1999,2
Foster,4.0,G,Enchantment,,mmq,1999,3
Faerie Noble,3.0,G,Creature,"Faerie,Noble",hml,1995,3
Temple of Epiphany,0.0,"R,U",Land,,jou,2014,3
Rapid Hybridization,1.0,U,Instant,,gtc,2013,2
Solemn Simulacrum,4.0,,"Artifact,Creature",Golem,mrd,2003,3
"Kylox, Visionary Inventor",7.0,"R,U","Legendary,Creature","Lizard,Artificer",mkm,2024,3
Canker Abomination,4.0,"B,G",Creature,"Treefolk,Horror",eve,2008,2
"Jin-Gitaxias, Core Augur",10.0,U,"Legendary,Creature","Phyrexian,Praetor",nph,2011,4
"Eivor, Wolf-Kissed",6.0,"G,R,W","Legendary,Creature","Human,Assassin,Warrior",acr,2024,4
Relentless Assault,4.0,R,Sorcery,,vis,1997,3
Arcane Encyclopedia,3.0,,Artifact,,m19,2018,2
Dissipate,3.0,U,Instant,,mir,1996,2
Taiga,0.0,"G,R",Land,"Mountain,Forest",lea,1993,3
Air Servant,5.0,U,Creature,Elemental,m11,2010,2
Beast-Kin Ranger,3.0,G,Creature,"Elf,Ranger",fdn,2024,1
Parallel Lives,4.0,G,Enchantment,,isd,2011,3
Smite the Monstrous,4.0,W,Instant,,isd,2011,1
