name,mana_value,color_identity,types,subtypes,set,year,rarity
Sinew Sliver,2.0,W,Creature,Sliver,plc,2007,common
Charge,1.0,W,Instant,,dom,2018,common
Island,0.0,U,"Basic,Land",Island,lea,1993,common
Novice Knight,1.0,W,Creature,"Human,Knight",m19,2018,uncommon
Fallen Askari,2.0,B,Creature,"Human,Knight",vis,1997,common
Altar's Reap,2.0,B,Instant,,isd,2011,common
"Lavinia, Azorius Renegade",2.0,"U,W","Legendary,Creature","Human,Soldier",prna,2019,rare
"Odric, Master Tactician",4.0,W,"Legendary,Creature","Human,Soldier",m13,2012,rare
Afflict,3.0,B,Instant,,ody,2001,common
Crown of Gondor,3.0,,"Legendary,Artifact",Equipment,ltc,2023,rare
Invisible Stalker,2.0,U,Creature,"Human,Rogue",isd,2011,uncommon
"Dakkon, Shadow Slayer",3.0,"B,U,W","Legendary,Planeswalker",Dakkon,pmh2,2021,mythic
Shahrazad,2.0,W,Sorcery,,arn,1993,rare
Destructive Tampering,3.0,R,Sorcery,,aer,2017,common
Mox Jet,0.0,B,Artifact,,lea,1993,rare
Harmonize,4.0,G,Sorcery,,plc,2007,uncommon
Nocturnal Raid,4.0,B,Instant,,mir,1996,uncommon
Temporal Manipulation,5.0,U,Sorcery,,p02,1998,rare
The Convincing General,5.0,"B,G,R,U,W","Legendary,Creature",Shapeshifter,unk,2024,mythic
Archon of the Wild Rose,4.0,W,Creature,Archon,woe,2023,rare
Vaevictis Asmadi,8.0,"B,G,R","Legendary,Creature","Elder,Dragon",leg,1994,rare
Flensermite,2.0,B,Creature,"Phyrexian,Gremlin",mbs,2011,common
Triskelion,6.0,,"Artifact,Creature",Construct,atq,1994,rare
Rite of the Raging Storm,5.0,R,Enchantment,,c15,2015,uncommon
"Gorion, Wise Mentor",3.0,"G,U,W","Legendary,Creature","Human,Wizard",clb,2022,rare
Wolf,0.0,R,"Token,Creature",Wolf,tvow,2021,common
Gate Smasher,3.0,,Artifact,Equipment,dtk,2015,uncommon
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",0.0,"G,U",Land,"Town,//,Legendary,Artifact,—,Vehicle",fin,2025,rare
Kemba's Outfitter,1.0,W,Creature,"Cat,Artificer",yone,2023,uncommon
World Breaker,7.0,G,Creature,Eldrazi,ogw,2016,mythic
Rogue Kavu,2.0,R,Creature,Kavu,inv,2000,common
Ornery Tumblewagg,3.0,G,Creature,"Brushwagg,Mount",otj,2024,rare
Harbinger of the Seas,3.0,U,Creature,"Merfolk,Wizard",mh3,2024,rare
Mad Auntie,3.0,B,Creature,"Goblin,Shaman",lrw,2007,rare
Coral Eel,2.0,U,Creature,Fish,por,1997,common
Midnight Clock,3.0,U,Artifact,,eld,2019,rare
Invasion of Tolvada // The Broken Sky,5.0,"B,W",Battle,"Siege,//,Enchantment",mom,2023,rare
The Great Juggernaut,4.0,R,"Legendary,Artifact,Creature",Juggernaut,unk,2024,rare
Lurking Nightstalker,2.0,B,Creature,Nightstalker,p02,1998,common
Spark Spray,1.0,R,Instant,,scg,2003,common
Remand,2.0,U,Instant,,rav,2005,uncommon
"Lazav, Familiar Stranger",3.0,"B,U","Legendary,Creature",Shapeshifter,otj,2024,uncommon
Plains,0.0,W,"Basic,Land",Plains,lea,1993,common
"Edric, Spymaster of Trest",3.0,"G,U","Legendary,Creature","Elf,Rogue",cmd,2011,rare
Clearwater Pathway // Clearwater Pathway,0.0,,"Card,//,Card",,aznr,2020,common
Crossbow Infantry,2.0,W,Creature,"Human,Soldier,Archer",mmq,1999,common
Bubbling Beebles,5.0,U,Creature,Beeble,uds,1999,common
Second Breakfast,3.0,W,Instant,,ltr,2023,common
"Ulasht, the Hate Seed",4.0,"G,R","Legendary,Creature","Hellion,Hydra",gpt,2006,rare
Unholy Strength,1.0,B,Enchantment,Aura,lea,1993,common
Consecrate // Consume,6.0,"B,W","Instant,//,Sorcery",,rna,2019,uncommon
Thornwood Falls,0.0,"G,U",Land,,ktk,2014,common
Goblin Bowling Team,4.0,R,Creature,Goblin,ugl,1998,common
Elvish Aberration,6.0,G,Creature,"Elf,Mutant",pal03,2003,rare
"Farid, Enterprising Salvager",3.0,R,"Legendary,Creature","Human,Soldier",brc,2022,rare
Wings of Aesthir,2.0,"U,W",Enchantment,Aura,ice,1995,uncommon
Mwonvuli Beast Tracker,3.0,G,Creature,"Human,Scout",pm13,2012,uncommon
Return to Dust,4.0,W,Instant,,tsp,2006,uncommon
Emberheart Challenger,2.0,R,Creature,"Mouse,Warrior",blb,2024,rare
Royal Assassin,3.0,B,Creature,"Human,Assassin",lea,1993,rare
Shock,1.0,R,Instant,,sth,1998,common
Eldrazi Temple,0.0,,Land,,roe,2010,rare
Voyager Glidecar,1.0,W,Artifact,Vehicle,pdft,2025,rare
Walk the Plank,2.0,B,Sorcery,,xln,2017,uncommon
Sphinx's Revelation,3.0,"U,W",Instant,,rtr,2012,mythic
Mise,1.0,U,Instant,,pal04,2004,rare
Kor Entanglers,5.0,W,Creature,"Kor,Soldier,Ally",bfz,2015,uncommon
Tail Swipe,1.0,G,Instant,,dmu,2022,uncommon
Briarbridge Patrol,4.0,G,Creature,"Human,Warrior",soi,2016,uncommon
The Restoration of Eiganjo // Architect of Restoration,3.0,W,Enchantment,"Saga,//,Enchantment,Creature,—,Fox,Monk",neo,2022,rare
Spread the Sickness,5.0,B,Sorcery,,mbs,2011,common
"Izoni, Thousand-Eyed",6.0,"B,G","Legendary,Creature","Elf,Shaman",grn,2018,rare
Oracle of the Alpha,3.0,U,Creature,"Bird,Wizard",ydmu,2022,mythic
"Alesha, Who Laughs at Fate",3.0,"B,R","Legendary,Creature","Human,Warrior",fdn,2024,rare
Duelist's Heritage,3.0,W,Enchantment,,c16,2016,rare
"Lazav, Dimir Mastermind",4.0,"B,U","Legendary,Creature",Shapeshifter,gtc,2013,mythic
Celestial Kirin,4.0,W,"Legendary,Creature","Kirin,Spirit",sok,2005,rare
Courage in Crisis,3.0,G,Sorcery,,war,2019,common
Green Sun's Twilight,1.0,G,Sorcery,,pone,2023,rare
Talisman of Curiosity,2.0,"G,U",Artifact,,mh1,2019,uncommon
"Snapdax, Apex of the Hunt",4.0,"B,R,W","Legendary,Creature","Dinosaur,Cat,Nightmare",piko,2020,mythic
Ornithopter,0.0,,"Artifact,Creature",Thopter,atq,1994,common
"Kamahl, Pit Fighter",6.0,R,"Legendary,Creature","Human,Barbarian",ody,2001,rare
Saheeli's Directive,3.0,R,Sorcery,,c18,2018,rare
Festering Goblin,1.0,B,Creature,"Zombie,Goblin",ons,2002,common
Reality Smasher,5.0,,Creature,Eldrazi,ogw,2016,rare
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",3.0,G,"Legendary,Enchantment,//,Legendary,Land",,pxln,2017,rare
Orzhov Advokist,3.0,W,Creature,"Human,Advisor",c16,2016,uncommon
Initiate's Companion,2.0,G,Creature,Cat,akh,2017,common
Tsabo's Assassin,4.0,B,Creature,"Phyrexian,Zombie,Assassin",inv,2000,rare
Mana Clash,1.0,R,Sorcery,,drk,1994,rare
Darksteel Splicer,7.0,W,Creature,"Phyrexian,Artificer",moc,2023,rare
"Hogaak, Arisen Necropolis",7.0,"B,G","Legendary,Creature",Avatar,mh1,2019,rare
Survival of the Fittest,2.0,G,Enchantment,,exo,1998,rare
Keen-Eyed Curator,2.0,G,Creature,"Raccoon,Scout",blb,2024,rare
Jasmine Boreal,5.0,"G,W","Legendary,Creature",Human,leg,1994,uncommon
Bone Dragon,5.0,B,Creature,"Dragon,Skeleton",pm19,2018,mythic
Psychic Venom,2.0,U,Enchantment,Aura,lea,1993,common
Birthing Ritual,2.0,G,Enchantment,,mh3,2024,mythic
A-Falcon Abomination,3.0,U,Creature,"Zombie,Bird",mid,2021,common
Fire Elemental,5.0,R,Creature,Elemental,lea,1993,uncommon
Grizzly Fate,5.0,G,Sorcery,,jud,2002,uncommon
Ancient Spring,0.0,"B,U,W",Land,,inv,2000,common
Howlgeist,6.0,G,Creature,"Spirit,Wolf",avr,2012,uncommon
Sengir Vampire,5.0,B,Creature,Vampire,lea,1993,uncommon
Farewell,6.0,W,Sorcery,,neo,2022,rare
Digsite Engineer,3.0,W,Creature,"Dwarf,Artificer",c21,2021,rare
Security Rhox,4.0,"G,R",Creature,"Rhino,Warrior",snc,2022,uncommon
Biogenic Upgrade,6.0,G,Sorcery,,rna,2019,uncommon
Belbe's Armor,3.0,,Artifact,,nem,2000,uncommon
Slinking Skirge,4.0,B,Creature,"Phyrexian,Imp",uds,1999,common
Thalakos Lowlands,0.0,"U,W",Land,,tmp,1997,uncommon
Scoured Barrens,0.0,"B,W",Land,,ktk,2014,common
"Shaile, Dean of Radiance // Embrose, Dean of Shadow",2.0,"B,W","Legendary,Creature","Bird,Cleric,//,Legendary,Creature,—,Human,Warlock",plst,2020,rare
Spined Wurm,5.0,G,Creature,Wurm,por,1997,common
Behemoth Sledge,3.0,"G,W",Artifact,Equipment,arb,2009,uncommon
"Cadric, Soul Kindler",4.0,"R,W","Legendary,Creature","Dwarf,Wizard",dmc,2022,rare
Summon: Choco/Mog,3.0,W,"Enchantment,Creature","Saga,Bird,Moogle",fin,2025,common
Grim Captain's Call,3.0,B,Sorcery,,xln,2017,uncommon
"Boseiju, Who Endures",0.0,G,"Legendary,Land",,neo,2022,rare
Copy,0.0,,Token,,t2xm,2020,common
Reassembling Skeleton,2.0,B,Creature,"Skeleton,Warrior",arc,2010,uncommon
Catastrophe,6.0,W,Sorcery,,usg,1998,rare
Vandalblast,1.0,R,Sorcery,,rtr,2012,uncommon
Beledros Witherbloom,7.0,"B,G","Legendary,Creature","Elder,Dragon",pstx,2021,mythic
Enchanted Carriage,5.0,,Artifact,Vehicle,eld,2019,uncommon
Insect,0.0,G,"Token,Creature",Insect,p03,2003,common
Workshop Elders,7.0,U,Creature,"Human,Artificer",eld,2019,rare
Floodbringer,2.0,U,Creature,"Moonfolk,Wizard",bok,2005,common
Phyresis,2.0,B,Enchantment,Aura,mbs,2011,common
Banewhip Punisher,3.0,B,Creature,"Human,Warrior",hou,2017,uncommon
Mountain,0.0,R,"Basic,Land",Mountain,lea,1993,common
"Nin, the Pain Artist",2.0,"R,U","Legendary,Creature","Vedalken,Wizard",pcmd,2011,rare
Corpse Traders,4.0,B,Creature,"Human,Rogue",avr,2012,uncommon
Zodiac Rabbit,1.0,G,Creature,Rabbit,ptk,1999,common
Rite of the Serpent,6.0,B,Sorcery,,ktk,2014,common
Scourge of Fleets,7.0,U,Creature,Kraken,pjou,2014,rare
Maro's Gone Nuts,2.0,G,Enchantment,,cmb1,2019,rare
Skullclamp,1.0,,Artifact,Equipment,dst,2004,uncommon
Skullmane Baku,5.0,B,Creature,Spirit,bok,2005,common
Feeling of Dread,2.0,"U,W",Instant,,isd,2011,common
Ledger Shredder,2.0,U,Creature,"Bird,Advisor",psnc,2022,rare
Pia Nalaar,3.0,R,"Legendary,Creature","Human,Artificer",pkld,2016,rare
Shatterskull Charger,3.0,R,Creature,"Giant,Warrior",pznr,2020,rare
Infected Vermin,3.0,B,Creature,Rat,ody,2001,uncommon
Venerable Warsinger,3.0,"R,W",Creature,"Spirit,Cleric",stx,2021,rare
Thousand-Faced Shadow,1.0,U,Creature,"Human,Ninja",neo,2022,rare
"Delney, Streetwise Lookout",3.0,W,"Legendary,Creature","Human,Scout",mkm,2024,mythic
Murderous Betrayal,3.0,B,Enchantment,,nem,2000,rare
Eyeblight Massacre,4.0,B,Sorcery,,ori,2015,uncommon
Raise Dead,1.0,B,Sorcery,,lea,1993,common
Hero,0.0,,"Token,Creature",Hero,tfin,2025,common
Saprazzan Skerry,0.0,U,Land,,mmq,1999,common
Elder Gargaroth,5.0,G,Creature,Beast,pm21,2020,mythic
Bloodline Culling,3.0,B,Instant,,mid,2021,rare
Jan Tomcani Bio,0.0,,Card,,wc01,2001,common
Enigma Drake,3.0,"R,U",Creature,Drake,akh,2017,uncommon
Sphinx Summoner,5.0,"B,U","Artifact,Creature",Sphinx,con,2009,rare
Blessing of Frost,4.0,G,"Snow,Sorcery",,pkhm,2021,rare
Saproling,0.0,G,"Token,Creature",Saproling,mpr,2001,common
Worship,4.0,W,Enchantment,,usg,1998,rare
Duress,1.0,B,Sorcery,,usg,1998,common
"Miara, Thorn of the Glade",2.0,B,"Legendary,Creature","Elf,Scout",cmr,2020,uncommon
Flame Slash,1.0,R,Sorcery,,roe,2010,common
Touch of the Void,3.0,R,Sorcery,,bfz,2015,common
"Danitha, New Benalia's Light",3.0,"G,W","Legendary,Creature","Human,Knight",mat,2023,rare
Rite of Replication,4.0,U,Sorcery,,zen,2009,rare
Guardian Angel,1.0,W,Instant,,lea,1993,common
Warrant // Warden,7.0,"U,W","Instant,//,Sorcery",,rna,2019,rare
Sparkspitter,3.0,R,Creature,"Elemental,Spellshaper",fut,2007,uncommon
Hold the Perimeter,0.0,,Conspiracy,,cn2,2016,rare
Lightning Shrieker,5.0,R,Creature,Dragon,frf,2015,common
"Atris, Oracle of Half-Truths",4.0,"B,U","Legendary,Creature","Human,Advisor",pthb,2020,rare
Pteramander,1.0,U,Creature,"Salamander,Drake",rna,2019,uncommon
Diamond Faerie,5.0,"G,U,W","Snow,Creature",Faerie,csp,2006,rare
Beast Within,3.0,G,Instant,,nph,2011,uncommon
"Titania, Nature's Force",6.0,G,"Legendary,Creature",Elemental,brc,2022,mythic
Blighted Burgeoning,3.0,G,Enchantment,Aura,mom,2023,common
Archmage of Runes,5.0,U,Creature,"Giant,Wizard",pfdn,2024,rare
Finale of Promise,2.0,R,Sorcery,,pwar,2019,mythic
Rootcast Apprenticeship,4.0,G,Sorcery,,blc,2024,rare
"Laelia, the Blade Reforged",3.0,R,"Legendary,Creature","Spirit,Warrior",c21,2021,rare
Predatory Impetus,5.0,G,Enchantment,Aura,c20,2020,uncommon
Cyclopean Tomb,4.0,,Artifact,,lea,1993,rare
Grove of the Guardian,0.0,"G,W",Land,,rtr,2012,rare
Deadly Alliance,5.0,B,Instant,,znr,2020,common
Hushwood Verge // Hushwood Verge,0.0,,"Card,//,Card",,adsk,2024,common
Deep-Sea Terror,6.0,U,Creature,Serpent,ori,2015,common
Rhino,0.0,G,"Token,Creature",Rhino,trtr,2012,common
Season of Weaving,6.0,U,Sorcery,,pblb,2024,mythic
Steamflogger Boss,4.0,R,Creature,"Goblin,Rigger",fut,2007,rare
Immaculate Magistrate,4.0,G,Creature,"Elf,Shaman",lrw,2007,rare
Soul of Eternity,7.0,W,Creature,Avatar,cmr,2020,rare
Jaya Ballard,5.0,R,"Legendary,Planeswalker",Jaya,pdom,2018,mythic
Llanowar,0.0,G,Plane,Dominaria,ohop,2009,common
"Gutmorn, Pactbound Servant",3.0,B,"Legendary,Creature",Demon,ymid,2021,mythic
Hurska Sweet-Tooth,3.0,"G,W","Legendary,Creature",Bear,j25,2024,mythic
Bat,0.0,B,"Token,Creature",Bat,tmma,2013,common
Refresh,3.0,G,Instant,,ody,2001,common
Bone Picker,4.0,B,Creature,Bird,akh,2017,uncommon
Jack-o'-Lantern,1.0,,Artifact,,mid,2021,common
Elemental,0.0,G,"Token,Creature",Elemental,togw,2016,common
"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied",4.0,"B,R","Legendary,Creature","Human,Mutant,Wizard,//,Legendary,Creature,—,Avatar,Wizard",fin,2025,rare
Manaform Hellkite,4.0,R,Creature,Dragon,vow,2021,mythic
Bind // Liberate,4.0,"G,W","Instant,//,Instant",,cmb1,2019,rare
Zodiac Ox,4.0,G,Creature,Ox,ptk,1999,uncommon
"Alesha, Who Smiles at Death",3.0,"B,R,W","Legendary,Creature","Human,Warrior",frf,2015,rare
Thorn of Amethyst,2.0,,Artifact,,lrw,2007,rare
"Nissa, Vastwood Seer // Nissa, Sage Animist",3.0,G,"Legendary,Creature","Elf,Scout,//,Legendary,Planeswalker,—,Nissa",ps15,2015,mythic
"Faramir, Field Commander",4.0,W,"Legendary,Creature","Human,Soldier",ltr,2023,uncommon
Enlarge,5.0,G,Sorcery,,m14,2013,uncommon
Spurnmage Advocate,1.0,W,Creature,"Human,Nomad",jud,2002,uncommon
"Linvala, Shield of Sea Gate",3.0,"U,W","Legendary,Creature","Angel,Wizard",pznr,2020,rare
Construct,0.0,,"Token,Artifact,Creature",Construct,tdom,2018,common
Lake of the Dead,0.0,B,Land,,all,1996,rare
Kiddie Coaster,0.0,,Artifact,Attraction,unf,2022,common
Consuming Vapors,4.0,B,Sorcery,,roe,2010,rare
Spell Blast,1.0,U,Instant,,lea,1993,common
Slivdrazi Monstrosity,6.0,"B,G,R,U,W","Legendary,Creature","Sliver,Eldrazi",cmb1,2019,rare
Clue,0.0,,"Token,Artifact",Clue,tsoi,2016,common
Crusader of Odric,3.0,W,Creature,"Human,Soldier",m13,2012,uncommon
Pelakka Wurm,7.0,G,Creature,Wurm,roe,2010,uncommon
Ripscale Predator,6.0,R,Creature,Dinosaur,gtc,2013,uncommon
Twinblade Slasher,1.0,G,Creature,"Elf,Warrior",eve,2008,uncommon
Bladegriff Prototype,5.0,,"Artifact,Creature",Griffin,cmr,2020,rare
Beastmaster Ascension,3.0,G,Enchantment,,zen,2009,rare
Gemrazer,4.0,G,Creature,Beast,iko,2020,rare
Nezumi Cutthroat,2.0,B,Creature,"Rat,Warrior",chk,2004,common
Zealous Persecution,2.0,"B,W",Instant,,arb,2009,uncommon
"Lady Zhurong, Warrior Queen",5.0,G,"Legendary,Creature","Human,Soldier,Warrior",ptk,1999,rare
Forgehammer Centurion // Forgehammer Centurion,0.0,,"Card,//,Card",,aone,2023,common
Hunting Wilds,4.0,G,Sorcery,,plc,2007,uncommon
Ethereal Grasp,3.0,U,Instant,,j21,2021,common
Grim Wanderer,2.0,B,Creature,"Goblin,Warlock",afr,2021,uncommon
Rally the Galadhrim,4.0,"G,U",Sorcery,,ltc,2023,rare
Manabarbs,4.0,R,Enchantment,,lea,1993,rare
Incandescent Aria,3.0,"G,R,W",Sorcery,,psnc,2022,rare
Goblin Gardener,4.0,R,Creature,Goblin,uds,1999,common
Temur Charm,3.0,"G,R,U",Instant,,ktk,2014,uncommon
Biolume Egg // Biolume Serpent,3.0,U,Creature,"Serpent,Egg,//,Creature,—,Serpent",vow,2021,uncommon
Necrotic Hex,7.0,B,Sorcery,,cmr,2020,rare
Reconnaissance Mission,4.0,U,Enchantment,,iko,2020,uncommon
Overflowing Insight,7.0,U,Sorcery,,pxln,2017,mythic
Wasteful Harvest,3.0,G,Instant,,bro,2022,common
Hellion,0.0,R,"Token,Creature",Hellion,troe,2010,common
Inventor's Goggles,1.0,,Artifact,Equipment,kld,2016,common
Blockbuster,5.0,R,Enchantment,,rav,2005,uncommon
"Padeem, Consul of Innovation",4.0,U,"Legendary,Creature","Vedalken,Artificer",pkld,2016,rare
Nature's Lore,2.0,G,Sorcery,,ice,1995,uncommon
Eron the Relentless,5.0,R,"Legendary,Creature","Human,Rogue",hml,1995,uncommon
Sungrass Prairie,0.0,"G,W",Land,,ody,2001,rare
Colossus of Sardia,9.0,,"Artifact,Creature",Golem,atq,1994,rare
Krosan Verge,0.0,,Land,,jud,2002,uncommon
Otepec Huntmaster,2.0,R,Creature,"Human,Shaman",xln,2017,uncommon
Monk Idealist,3.0,W,Creature,"Human,Monk,Cleric",usg,1998,uncommon
Atraxa's Skitterfang // Atraxa's Skitterfang,0.0,,"Card,//,Card",,aone,2023,common
Give In to Violence,2.0,B,Instant,,dsk,2024,common
Mercadian Atlas,5.0,,Artifact,,mmq,1999,rare
Drannith Magistrate,2.0,W,Creature,"Human,Wizard",piko,2020,rare
Thermokarst,3.0,G,Sorcery,,ice,1995,uncommon
Knight of the White Orchid,2.0,W,Creature,"Human,Knight",ala,2008,rare
"Marchesa, Dealer of Death",3.0,"B,R,U","Legendary,Creature","Human,Rogue",potj,2024,rare
Nomads' Assembly,6.0,W,Sorcery,,roe,2010,rare
"Ulamog, the Infinite Gyre",11.0,,"Legendary,Creature",Eldrazi,roe,2010,mythic
Disintegrate,1.0,R,Sorcery,,lea,1993,common
Inspiring Vantage,0.0,"R,W",Land,,pkld,2016,rare
"Ajani, the Greathearted",4.0,"G,W","Legendary,Planeswalker",Ajani,pwar,2019,rare
Gift of Paradise,3.0,G,Enchantment,Aura,akh,2017,common
Endless One,0.0,,Creature,Eldrazi,bfz,2015,rare
Meteorite,0.0,,"Token,Artifact",,totj,2024,common
Polygoyf,3.0,G,Creature,Lhurgoyf,m3c,2024,rare
Tip the Scales,3.0,B,Sorcery,,tdc,2025,rare
"Sakiko, Mother of Summer // Sakiko, Mother of Summer",0.0,,"Card,//,Card",,acmm,2023,common
Snake Umbra,3.0,G,Enchantment,Aura,roe,2010,common
Telepathy,1.0,U,Enchantment,,usg,1998,uncommon
Gleaming Geardrake,2.0,"R,U","Artifact,Creature",Drake,mkm,2024,uncommon
"Raff, Weatherlight Stalwart // Raff, Weatherlight Stalwart",0.0,,"Card,//,Card",,admu,2022,common
"Etrata, Deadly Fugitive",3.0,"B,U","Legendary,Creature","Vampire,Assassin",mkm,2024,mythic
Spirit,0.0,"B,W","Token,Creature",Spirit,teve,2008,common
"Htbr, Racetrack Referee",2.0,W,"Legendary,Creature",Homunculus,unk,2025,rare
Temple of the False God,0.0,,Land,,scg,2003,uncommon
"Nikara, Lair Scavenger",3.0,B,"Legendary,Creature","Human,Cleric",c20,2020,mythic
Resurgent Belief,0.0,W,Sorcery,,pmh2,2021,rare
Rescuer Sphinx,4.0,U,Creature,Sphinx,war,2019,uncommon
Verdant Outrider // Verdant Outrider,0.0,,"Card,//,Card",,awoe,2023,common
Dusk // Dawn,9.0,W,"Sorcery,//,Sorcery",,akh,2017,rare
Homing Lightning,4.0,R,Instant,,gtc,2013,uncommon
Elvish Healer,3.0,W,Creature,"Elf,Cleric",ice,1995,common
Angelic Quartermaster // Angelic Quartermaster,0.0,,"Card,//,Card",,avow,2021,common
Mirror Gallery,5.0,,Artifact,,bok,2005,rare
Phantom Interference,1.0,U,Instant,,otj,2024,common
Tempt with Discovery,4.0,G,Sorcery,,c13,2013,rare
Underworld Dreams,3.0,B,Enchantment,,leg,1994,uncommon
Loxodon Convert,4.0,W,Creature,"Phyrexian,Elephant,Soldier",nph,2011,common
Excavating Anurid,5.0,G,Creature,"Frog,Beast",mh1,2019,common
Young Wolf,1.0,G,Creature,Wolf,dka,2012,common
Grim Lavamancer,1.0,R,Creature,"Human,Wizard",tor,2002,rare
Ancient Bronze Dragon,7.0,G,Creature,"Elder,Dragon",clb,2022,mythic
Archdruid's Charm,3.0,G,Instant,,mkm,2024,rare
Ox of Agonas,5.0,R,Creature,Ox,thb,2020,mythic
Dread Specter,4.0,B,Creature,Specter,mir,1996,uncommon
Fleshformer,3.0,"B,G,R,U,W",Creature,"Human,Wizard",con,2009,uncommon
Angelic Sleuth,3.0,W,Creature,"Angel,Advisor",pncc,2022,rare
Call the Bloodline,2.0,B,Enchantment,,soi,2016,uncommon
Needlepeak Spider,4.0,R,Creature,Spider,plc,2007,common
Tranquil Cove,0.0,"U,W",Land,,ktk,2014,common
Orazca Frillback,3.0,G,Creature,Dinosaur,rix,2018,common
Search for Glory,3.0,W,"Snow,Sorcery",,pkhm,2021,rare
Mist Raven,4.0,U,Creature,Bird,avr,2012,common
Contagion,5.0,B,Instant,,all,1996,uncommon
Crystal Rod,1.0,,Artifact,,lea,1993,uncommon
Shadow Kin,4.0,U,Creature,Shapeshifter,mic,2021,rare
Ghor-Clan Bloodscale,4.0,"G,R",Creature,"Lizard,Warrior",gpt,2006,uncommon
Shoreline Looter,2.0,U,Creature,"Rat,Rogue",blb,2024,uncommon
Dark Depths,0.0,,"Legendary,Snow,Land",,csp,2006,rare
Liliana of the Dark Realms,4.0,B,"Legendary,Planeswalker",Liliana,m13,2012,mythic
Gruul War Chant,4.0,"G,R",Enchantment,,dgm,2013,uncommon
Ur-Golem's Eye,4.0,,Artifact,,dst,2004,common
Ghost Ship,4.0,U,Creature,Spirit,drk,1994,common
Lightning Elemental,4.0,R,Creature,Elemental,tmp,1997,common
Pip-Boy 3000,1.0,,Artifact,Equipment,pip,2024,rare
Gray Merchant of Asphodel,5.0,B,Creature,Zombie,ths,2013,common
Mindslaver,6.0,,"Legendary,Artifact",,mrd,2003,rare
Instrument of the Bards,1.0,G,"Legendary,Artifact",,pafr,2021,rare
Harnessed Snubhorn,4.0,W,Creature,Dinosaur,mat,2023,uncommon
Cloud Elemental,3.0,U,Creature,Elemental,vis,1997,common
Warrior's Oath,2.0,R,Sorcery,,ptk,1999,rare
Staunch Defenders,5.0,W,Creature,"Human,Soldier",tmp,1997,uncommon
Elvish Skysweeper,1.0,G,Creature,"Elf,Warrior",rav,2005,common
Tormented Angel,4.0,W,Creature,Angel,uds,1999,common
Cogworker's Puzzleknot,2.0,W,Artifact,,kld,2016,common
Quest for the Holy Relic,1.0,W,Enchantment,,zen,2009,uncommon
